Stat,Player,Allycode,Score
disobey,Loreck Avery,163499779,6
disobey,Sexbobomb,396197254,7
disobey,DarthYinzer,682841274,7
disobey,Coimba,685713638,4
disobey,SithHunter,574967428,6
disobey,Gladiator Motoko,683258588,9
disobey,Corey Gandy,241213166,4
disobey,Shadowcat USM,825149629,4
disobey,Gibrise USM,731149156,8
disobey,Garbmutt,872156571,5
disobey,МЯΞΜRΞ,444289553,4
disobey,PhoenixRed11,841797886,4
disobey,Petike,497267437,8
disobey,Rann,994385236,5
disobey,Ceth Senpai,474166757,7
disobey,Eckle,228335419,5
disobey,Pдсо,238227159,4
disobey,DANTE,417327527,5
disobey,Bro Beans,891261494,4
disobey,Brill Adrien,876538381,4
disobey,Seandwe,737873335,5
disobey,Zeb,471321961,5
disobey,X'loor Bintaghr,125796381,7
disobey,RaaRaven,318429567,8
disobey,Panamonn,935795417,0
disobey,Daxx Zanon,515149882,0
disobey,TAURUS,663542869,0
disobey,Spicewood Fix,943675763,0
