Stat,Player,Allycode,Score
disobey,Sexbobomb,396197254,10
disobey,DarthYinzer,682841274,9
disobey,Coimba,685713638,6
disobey,SithHunter,574967428,7
disobey,Gladiator Motoko,683258588,4
disobey,Corey Gandy,241213166,4
disobey,DarthYoda,288674763,5
disobey,Shadowcat USM,825149629,6
disobey,Heisenberg,892234357,4
disobey,Gibrise USM,731149156,11
disobey,TAURUS,663542869,2
disobey,PhoenixRed11,841797886,8
disobey,Rann,994385236,4
disobey,Ceth Senpai,474166757,9
disobey,Eckle,228335419,8
disobey,Pдсо,238227159,7
disobey,DANTE,417327527,7
disobey,Bro Beans,891261494,6
disobey,Brill Adrien,876538381,3
disobey,X'loor Bintaghr,125796381,9
disobey,Zeb,471321961,7
disobey,Seandwe,737873335,5
disobey,RaaRaven,318429567,8
disobey,Daxx Zanon,515149882,0
disobey,Maz897,853861723,0
disobey,Kilum Natta,192664314,0
disobey,LΛS,161532583,0
disobey,Spicewood Bar,168693856,0
