Stat,Player,Allycode,Score
disobey,RaaRaven,318429567,5
disobey,Spicewood Foo,969812774,0
disobey,X'loor Bintaghr,125796381,0
disobey,Torque,632691185,0
disobey,Lax Hatif,247151728,0
disobey,Spicewood Bar,168693856,0
disobey,Panamonn,935795417,0
disobey,Daxx Zanon,515149882,0
disobey,TAURUS,663542869,0
disobey,Heisenberg,892234357,0
disobey,Maz897,853861723,0
disobey,DarthBalken,962597524,0
disobey,Nerf Herder,222622523,0
disobey,Beyla,173624533,0
disobey,Smilol,663333121,0
disobey,PhoenixRed11,841797886,0
disobey,Coimba,685713638,0
disobey,White dead,298782957,0
disobey,Garbmutt,872156571,0
